seed,n_domains,n_pairs,total_discoveries,total_ground_truth,total_tp
42,2,1,600,5,5
42,3,3,1800,15,13
42,4,6,3600,30,25
42,5,10,6000,50,43
42,6,15,9000,75,63
123,2,1,600,5,4
123,3,3,1800,15,12
123,4,6,3600,30,25
123,5,10,6000,50,38
123,6,15,9000,75,53
456,2,1,600,5,5
456,3,3,1800,15,15
456,4,6,3600,30,24
456,5,10,6000,50,39
456,6,15,9000,75,66
789,2,1,600,5,4
789,3,3,1800,15,14
789,4,6,3600,30,21
789,5,10,6000,50,33
789,6,15,9000,75,53
1024,2,1,600,5,3
1024,3,3,1800,15,12
1024,4,6,3600,30,22
1024,5,10,6000,50,37
1024,6,15,9000,75,59
2048,2,1,600,5,4
2048,3,3,1800,15,13
2048,4,6,3600,30,24
2048,5,10,6000,50,37
2048,6,15,9000,75,59
3072,2,1,600,5,4
3072,3,3,1800,15,13
3072,4,6,3600,30,22
3072,5,10,6000,50,40
3072,6,15,9000,75,60
4096,2,1,600,5,4
4096,3,3,1800,15,13
4096,4,6,3600,30,24
4096,5,10,6000,50,44
4096,6,15,9000,75,65
5120,2,1,600,5,4
5120,3,3,1800,15,13
5120,4,6,3600,30,24
5120,5,10,6000,50,40
5120,6,15,9000,75,56
6144,2,1,600,5,5
6144,3,3,1800,15,13
6144,4,6,3600,30,25
6144,5,10,6000,50,44
6144,6,15,9000,75,57
