sweep,param_name,param_value,seed,metric_name,metric_value
A_asymmetry,asymmetry_ratio,1,42,accuracy,0.404
A_asymmetry,asymmetry_ratio,1,123,accuracy,0.3835
A_asymmetry,asymmetry_ratio,1,456,accuracy,0.366
A_asymmetry,asymmetry_ratio,1,789,accuracy,0.457
A_asymmetry,asymmetry_ratio,1,1024,accuracy,0.4475
A_asymmetry,asymmetry_ratio,5,42,accuracy,0.634
A_asymmetry,asymmetry_ratio,5,123,accuracy,0.633
A_asymmetry,asymmetry_ratio,5,456,accuracy,0.5685
A_asymmetry,asymmetry_ratio,5,789,accuracy,0.63
A_asymmetry,asymmetry_ratio,5,1024,accuracy,0.6145
A_asymmetry,asymmetry_ratio,10,42,accuracy,0.67
A_asymmetry,asymmetry_ratio,10,123,accuracy,0.6505
A_asymmetry,asymmetry_ratio,10,456,accuracy,0.6215
A_asymmetry,asymmetry_ratio,10,789,accuracy,0.6605
A_asymmetry,asymmetry_ratio,10,1024,accuracy,0.6195
A_asymmetry,asymmetry_ratio,20,42,accuracy,0.6775
A_asymmetry,asymmetry_ratio,20,123,accuracy,0.641
A_asymmetry,asymmetry_ratio,20,456,accuracy,0.6445
A_asymmetry,asymmetry_ratio,20,789,accuracy,0.6735
A_asymmetry,asymmetry_ratio,20,1024,accuracy,0.648
A_asymmetry,asymmetry_ratio,50,42,accuracy,0.503
A_asymmetry,asymmetry_ratio,50,123,accuracy,0.446
A_asymmetry,asymmetry_ratio,50,456,accuracy,0.4335
A_asymmetry,asymmetry_ratio,50,789,accuracy,0.4805
A_asymmetry,asymmetry_ratio,50,1024,accuracy,0.4155
B_temperature,temperature,0.1,42,accuracy,0.68
B_temperature,temperature,0.1,123,accuracy,0.6435
B_temperature,temperature,0.1,456,accuracy,0.6325
B_temperature,temperature,0.1,789,accuracy,0.657
B_temperature,temperature,0.1,1024,accuracy,0.646
B_temperature,temperature,0.25,42,accuracy,0.6775
B_temperature,temperature,0.25,123,accuracy,0.641
B_temperature,temperature,0.25,456,accuracy,0.6445
B_temperature,temperature,0.25,789,accuracy,0.6735
B_temperature,temperature,0.25,1024,accuracy,0.648
B_temperature,temperature,0.5,42,accuracy,0.6685
B_temperature,temperature,0.5,123,accuracy,0.6435
B_temperature,temperature,0.5,456,accuracy,0.6305
B_temperature,temperature,0.5,789,accuracy,0.668
B_temperature,temperature,0.5,1024,accuracy,0.627
B_temperature,temperature,1.0,42,accuracy,0.643
B_temperature,temperature,1.0,123,accuracy,0.6195
B_temperature,temperature,1.0,456,accuracy,0.568
B_temperature,temperature,1.0,789,accuracy,0.63
B_temperature,temperature,1.0,1024,accuracy,0.6065
B_temperature,temperature,2.0,42,accuracy,0.5855
B_temperature,temperature,2.0,123,accuracy,0.5395
B_temperature,temperature,2.0,456,accuracy,0.483
B_temperature,temperature,2.0,789,accuracy,0.581
B_temperature,temperature,2.0,1024,accuracy,0.5465
C_noise,noise_rate,0.0,42,accuracy,0.702
C_noise,noise_rate,0.0,123,accuracy,0.6815
C_noise,noise_rate,0.0,456,accuracy,0.6575
C_noise,noise_rate,0.0,789,accuracy,0.7025
C_noise,noise_rate,0.0,1024,accuracy,0.6855
C_noise,noise_rate,0.03,42,accuracy,0.6775
C_noise,noise_rate,0.03,123,accuracy,0.641
C_noise,noise_rate,0.03,456,accuracy,0.6445
C_noise,noise_rate,0.03,789,accuracy,0.6735
C_noise,noise_rate,0.03,1024,accuracy,0.648
C_noise,noise_rate,0.05,42,accuracy,0.6785
C_noise,noise_rate,0.05,123,accuracy,0.652
C_noise,noise_rate,0.05,456,accuracy,0.613
C_noise,noise_rate,0.05,789,accuracy,0.662
C_noise,noise_rate,0.05,1024,accuracy,0.6395
C_noise,noise_rate,0.1,42,accuracy,0.6385
C_noise,noise_rate,0.1,123,accuracy,0.623
C_noise,noise_rate,0.1,456,accuracy,0.595
C_noise,noise_rate,0.1,789,accuracy,0.606
C_noise,noise_rate,0.1,1024,accuracy,0.602
C_noise,noise_rate,0.2,42,accuracy,0.551
C_noise,noise_rate,0.2,123,accuracy,0.527
C_noise,noise_rate,0.2,456,accuracy,0.5245
C_noise,noise_rate,0.2,789,accuracy,0.5485
C_noise,noise_rate,0.2,1024,accuracy,0.518
C_noise,noise_rate,0.3,42,accuracy,0.4615
C_noise,noise_rate,0.3,123,accuracy,0.439
C_noise,noise_rate,0.3,456,accuracy,0.458
C_noise,noise_rate,0.3,789,accuracy,0.447
C_noise,noise_rate,0.3,1024,accuracy,0.4445
D_embedding_dim,embedding_dim,16,42,f1,0.125
D_embedding_dim,embedding_dim,16,123,f1,0.125
D_embedding_dim,embedding_dim,16,456,f1,0.125
D_embedding_dim,embedding_dim,16,789,f1,0.125
D_embedding_dim,embedding_dim,16,1024,f1,0.125
D_embedding_dim,embedding_dim,32,42,f1,0.125
D_embedding_dim,embedding_dim,32,123,f1,0.125
D_embedding_dim,embedding_dim,32,456,f1,0.125
D_embedding_dim,embedding_dim,32,789,f1,0.125
D_embedding_dim,embedding_dim,32,1024,f1,0.125
D_embedding_dim,embedding_dim,64,42,f1,0.113924
D_embedding_dim,embedding_dim,64,123,f1,0.126582
D_embedding_dim,embedding_dim,64,456,f1,0.126582
D_embedding_dim,embedding_dim,64,789,f1,0.116883
D_embedding_dim,embedding_dim,64,1024,f1,0.113924
D_embedding_dim,embedding_dim,128,42,f1,0.294118
D_embedding_dim,embedding_dim,128,123,f1,0.210526
D_embedding_dim,embedding_dim,128,456,f1,0.222222
D_embedding_dim,embedding_dim,128,789,f1,0.228571
D_embedding_dim,embedding_dim,128,1024,f1,0.266667
D_embedding_dim,embedding_dim,256,42,f1,0.0
D_embedding_dim,embedding_dim,256,123,f1,0.0
D_embedding_dim,embedding_dim,256,456,f1,0.0
D_embedding_dim,embedding_dim,256,789,f1,0.0
D_embedding_dim,embedding_dim,256,1024,f1,0.0
