seed,lambda,accuracy,acc_credential_access,acc_threat_intel_match,acc_lateral_movement,acc_data_exfiltration,acc_insider_threat
42,0.0,0.982,0.981132,1.0,0.989691,0.935484,1.0
42,0.1,0.982,0.981132,1.0,0.989691,0.935484,1.0
42,0.2,0.98,0.981132,0.99,0.989691,0.935484,1.0
42,0.3,0.98,0.981132,0.99,0.989691,0.935484,1.0
42,0.5,0.97,0.962264,0.99,0.969072,0.924731,1.0
123,0.0,0.962,1.0,1.0,0.95614,0.888889,0.977778
123,0.1,0.962,1.0,1.0,0.95614,0.888889,0.977778
123,0.2,0.96,1.0,0.989362,0.95614,0.888889,0.977778
123,0.3,0.958,1.0,0.978723,0.95614,0.888889,0.977778
123,0.5,0.952,0.989362,0.957447,0.95614,0.888889,0.977778
456,0.0,0.974,1.0,1.0,0.970297,0.89011,1.0
456,0.1,0.974,1.0,1.0,0.970297,0.89011,1.0
456,0.2,0.976,1.0,1.0,0.970297,0.901099,1.0
456,0.3,0.976,1.0,1.0,0.970297,0.901099,1.0
456,0.5,0.972,0.989247,0.989691,0.970297,0.901099,1.0
789,0.0,0.968,1.0,0.992126,0.949367,0.894737,0.990291
789,0.1,0.968,1.0,0.992126,0.949367,0.894737,0.990291
789,0.2,0.968,1.0,0.992126,0.949367,0.894737,0.990291
789,0.3,0.966,0.989583,0.992126,0.949367,0.894737,0.990291
789,0.5,0.964,0.989583,0.984252,0.949367,0.894737,0.990291
1024,0.0,0.964,0.974026,1.0,0.953488,0.910891,0.987805
1024,0.1,0.962,0.974026,0.990991,0.953488,0.910891,0.987805
1024,0.2,0.958,0.974026,0.972973,0.953488,0.910891,0.987805
1024,0.3,0.95,0.974026,0.936937,0.953488,0.910891,0.987805
1024,0.5,0.932,0.974026,0.855856,0.953488,0.910891,0.987805
2048,0.0,0.982,0.980952,0.978947,0.967742,0.981481,1.0
2048,0.1,0.982,0.980952,0.978947,0.967742,0.981481,1.0
2048,0.2,0.982,0.980952,0.978947,0.967742,0.981481,1.0
2048,0.3,0.982,0.980952,0.978947,0.967742,0.981481,1.0
2048,0.5,0.976,0.980952,0.957895,0.967742,0.981481,0.989899
3072,0.0,0.968,0.976744,1.0,0.958763,0.897959,1.0
3072,0.1,0.968,0.976744,1.0,0.958763,0.897959,1.0
3072,0.2,0.968,0.976744,1.0,0.958763,0.897959,1.0
3072,0.3,0.968,0.976744,1.0,0.958763,0.897959,1.0
3072,0.5,0.96,0.976744,0.960784,0.958763,0.897959,1.0
4096,0.0,0.974,0.963964,0.991667,0.967742,0.94898,1.0
4096,0.1,0.974,0.963964,0.991667,0.967742,0.94898,1.0
4096,0.2,0.974,0.963964,0.991667,0.967742,0.94898,1.0
4096,0.3,0.972,0.963964,0.983333,0.967742,0.94898,1.0
4096,0.5,0.966,0.963964,0.983333,0.946237,0.938776,1.0
5120,0.0,0.974,0.990291,1.0,0.954128,0.927835,1.0
5120,0.1,0.974,0.990291,1.0,0.954128,0.927835,1.0
5120,0.2,0.974,0.990291,1.0,0.954128,0.927835,1.0
5120,0.3,0.974,0.990291,1.0,0.954128,0.927835,1.0
5120,0.5,0.952,0.990291,0.920455,0.954128,0.917526,0.970874
6144,0.0,0.978,0.969072,0.988889,0.971963,0.962617,1.0
6144,0.1,0.978,0.969072,0.988889,0.971963,0.962617,1.0
6144,0.2,0.978,0.969072,0.988889,0.971963,0.962617,1.0
6144,0.3,0.978,0.969072,0.988889,0.971963,0.962617,1.0
6144,0.5,0.97,0.969072,0.944444,0.971963,0.962617,1.0
